ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B2X4123_BL_ADL_F__SRR22581207	93046557	41062210	44.1%	1893328697	52.5%	1.5%	0.7%
B2X4133_BL_ADL_M__SRR20216518	3443597	1428590	41.5%	63564246	45.7%	1.8%	0.5%
B2X4133_BL_ADL_M__SRR22581199	6419022	2631831	41.0%	117284468	47.3%	1.5%	0.7%
B2X4190_BL_ADL_M__SRR20216517	47325830	21559459	45.6%	955397989	46.9%	1.9%	0.5%
B2X4190_BL_ADL_M__SRR22581196	105929109	48639802	45.9%	2217708435	51.8%	1.5%	0.7%
B2X4197_BL_ADL_F__SRR20216516	53416227	23084797	43.2%	1029486801	46.9%	1.9%	0.5%
B2X4197_BL_ADL_F__SRR22581290	1550192	639300	41.2%	28879308	49.4%	1.5%	0.7%
B2X4305_BL_ADL_F__SRR20216515	30870945	13167590	42.7%	581678791	47.7%	2.0%	0.5%
B2X4305_BL_ADL_F__SRR22581210	10804962	4716973	43.7%	213477194	53.8%	1.5%	0.7%
B2X4346_BL_ADL_F__SRR20216514	13247455	5702688	43.0%	255436374	48.5%	2.0%	0.5%
B2X4346_BL_ADL_F__SRR22581295	13077619	5862026	44.8%	263946721	53.3%	1.7%	0.7%
B2X4346_BL_CHK_F__SRR20216513	19194876	7981964	41.6%	360564805	49.5%	1.7%	0.5%
B2X4346_BL_CHK_F__SRR22581223	4780579	1815658	38.0%	80385690	51.3%	1.6%	0.7%
B2X4454_BL_ADL_M__SRR20216512	11084590	4881355	44.0%	217125880	47.2%	1.8%	0.5%
B2X4454_BL_ADL_M__SRR22581241	17436998	7677743	44.0%	345730826	52.1%	1.5%	0.7%
B2X4455_BL_ADL_M__SRR20216511	17866293	8022854	44.9%	354991186	46.7%	2.2%	0.5%
B2X4455_BL_ADL_M__SRR22581244	23225138	10666476	45.9%	478079422	50.4%	1.6%	0.7%
B2X4825_BL_ADL_M__SRR10606819	124259279	70005901	56.3%	3398043572	53.1%	1.3%	0.8%
B2X4825_BL_ADL_M__SRR10606820	129402690	75388446	58.3%	3621819242	52.7%	1.4%	0.8%
B2X4825_BL_ADL_M__SRR10606826	22771109	14123206	62.0%	186381223	35.3%	0.7%	0.3%
B2X4825_BL_ADL_M__SRR10606843	17222836	10703668	62.1%	138271867	37.2%	0.7%	0.4%
B2X4825_BL_ADL_M__SRR20213697	14116956	6327533	44.8%	284344736	45.6%	2.0%	0.5%
B2X4825_BL_ADL_M__SRR22581124	19968420	8586964	43.0%	385984920	46.4%	1.5%	0.7%
B2X4825_BL_ADL_M__SRR24994234	1915676	1017130	53.1%	16514430	41.4%	0.9%	0.7%
B2X4825_BL_ADL_M__SRR24994235	2087270	1106956	53.0%	17992668	42.3%	1.0%	0.7%
B2X4825_BL_ADL_M__SRR24994236	1936439	1029671	53.2%	16712743	41.4%	1.0%	0.7%
B2X4825_BL_ADL_M__SRR24994247	2083958	1097072	52.6%	17777922	41.9%	1.0%	0.7%
B2X4825_BL_ADL_M__SRR25143963	20221886	8957150	44.3%	624110270	48.7%	1.7%	1.1%
B2X4825_BL_ADL_M__SRR25143964	113547647	65996789	58.1%	3955095882	50.9%	0.5%	0.5%
B2X4839_BL_ADL_M__SRR20216509	86109674	38479627	44.7%	1700497141	48.4%	1.9%	0.5%
B2X4839_BL_ADL_M__SRR22581186	46683791	21011617	45.0%	964324964	53.9%	1.5%	0.7%
B2X4843_BL_CHK_M__SRR20216508	44076942	19498573	44.2%	867019036	50.8%	2.1%	0.5%
B2X4843_BL_CHK_M__SRR22581159	25238996	11423506	45.3%	503436908	53.6%	1.8%	0.7%
B2X4845_BL_ADL_F__SRR20216507	2933319	1189126	40.5%	52402825	48.6%	2.2%	0.5%
B2X4845_BL_ADL_F__SRR22581115	2184091	918904	42.1%	40984187	53.9%	1.7%	0.7%
B2X4901_BL_CHK_M__SRR20216506	46135431	20916624	45.3%	933902788	49.3%	2.1%	0.5%
B2X4901_BL_CHK_M__SRR22581269	30275699	14013669	46.3%	618051554	50.6%	1.7%	0.7%
B2X4930_BL_ADL_F__SRR10606817	120306827	70485355	58.6%	3411006762	56.7%	1.2%	0.7%
B2X4930_BL_ADL_F__SRR10606818	136346029	78412669	57.5%	3893060246	56.7%	1.2%	0.7%
B2X4930_BL_ADL_F__SRR10606827	25209530	15226606	60.4%	189111560	44.7%	0.9%	0.4%
B2X4930_BL_ADL_F__SRR10606844	18580163	11048262	59.5%	146629039	39.2%	0.7%	0.4%
B2X4934_BL_ADL_F__SRR20216505	68347439	31458381	46.0%	1373224355	48.4%	1.8%	0.5%
B2X4934_BL_ADL_F__SRR22581174	36187623	17068607	47.2%	778242198	53.7%	1.4%	0.7%
B2X4934_BL_ADL_F__SRR22581195	21653153	9742759	45.0%	424289618	50.9%	1.5%	0.7%
B2X4961_BL_ADL_M__SRR20216504	18871796	8482358	44.9%	372197039	46.1%	2.3%	0.5%
B2X4961_BL_ADL_M__SRR22581247	26026553	12090441	46.5%	536753417	47.1%	1.6%	0.7%
B2X6537_BL_CHK_M__SRR10606815	206211684	62911446	30.5%	2799094162	50.3%	1.6%	1.0%
B2X6537_BL_CHK_M__SRR10606816	246834580	77690553	31.5%	3838581070	49.9%	1.6%	1.1%
B2X6540_BL_CHK_M__SRR10606813	216517463	66529185	30.7%	3109551130	50.1%	1.6%	1.0%
B2X6540_BL_CHK_M__SRR10606814	220383638	66657149	30.2%	2913377995	51.4%	1.6%	1.1%
B2X7022_BL_CHK_M__SRR20216503	24096164	10718248	44.5%	480794034	48.7%	1.9%	0.5%
B2X7022_BL_CHK_M__SRR22581276	2404263	1020214	42.4%	45258472	50.0%	1.7%	0.7%
B2X7045_BL_ADL_M__SRR20216502	29608924	13384942	45.2%	596335793	46.1%	2.1%	0.5%
B2X7045_BL_ADL_M__SRR22581131	44624403	20201320	45.3%	919974566	48.1%	1.6%	0.7%
B2X7090_BL_CHK_F__SRR20216501	55851899	24025603	43.0%	1085484752	48.8%	1.8%	0.5%
B2X7090_BL_CHK_F__SRR22581292	11804862	4976818	42.2%	226723975	53.3%	1.6%	0.7%
B2X7097_BL_CHK_M__SRR20216500	28088835	12460772	44.4%	553729639	51.7%	1.9%	0.5%
B2X7097_BL_CHK_M__SRR22581230	4618569	2056133	44.5%	91965884	58.2%	1.7%	0.7%
B2X7195_BL_ADL_M__SRR20216498	14942823	6685758	44.7%	299719547	51.2%	2.1%	0.5%
B2X7195_BL_ADL_M__SRR22581280	9966906	4638017	46.5%	203223967	51.3%	1.8%	0.7%
B2X7195_BL_CHK_M__SRR20216497	18497156	8187659	44.3%	373791900	47.9%	1.9%	0.5%
B2X7195_BL_CHK_M__SRR22581167	47639344	21643470	45.4%	981549033	50.2%	1.6%	0.7%
B2X7304_BL_CHK_M__SRR20216496	23814016	10222141	42.9%	458628122	46.3%	1.9%	0.5%
B2X7304_BL_CHK_M__SRR22581158	15595558	6330710	40.6%	280295524	49.8%	1.6%	0.7%
B2X7334_BL_ADL_F__SRR20216495	4419544	1742848	39.4%	76702423	48.8%	1.8%	0.5%
B2X7334_BL_ADL_F__SRR22581240	16549368	6877574	41.6%	311697777	59.0%	1.5%	0.7%
B2X7338_BL_ADL_F__SRR20216494	16350767	7100779	43.4%	314753089	46.7%	1.9%	0.5%
B2X7338_BL_ADL_F__SRR22581257	45406714	20395312	44.9%	930247751	51.0%	1.5%	0.7%
B2X7339_BL_ADL_M__SRR20216493	51902923	23506505	45.3%	1060211566	47.8%	1.9%	0.5%
B2X7339_BL_ADL_M__SRR22581227	5181797	1976364	38.1%	87899787	49.4%	1.5%	0.7%
B2X7340_BL_ADL_F__SRR20216492	40529002	17558617	43.3%	777322430	47.0%	1.9%	0.5%
B2X7340_BL_ADL_F__SRR22581206	12393159	5489142	44.3%	246107885	48.8%	1.5%	0.7%
B2X7340_BL_CHK_F__SRR20216491	30109651	12587603	41.8%	571281361	49.8%	1.8%	0.5%
B2X7340_BL_CHK_F__SRR22581300	34427896	14675548	42.6%	669085731	55.2%	1.6%	0.7%
B2X7378_BL_CHK_F__SRR20216490	1883173	685367	36.4%	30467876	47.9%	1.8%	0.5%
B2X7378_BL_CHK_F__SRR22581150	16731784	7487729	44.8%	338911971	53.9%	1.6%	0.7%
B2X7380_BL_CHK_F__SRR20216489	36654526	15555347	42.4%	697565251	48.5%	1.6%	0.5%
B2X7380_BL_CHK_F__SRR22581142	171329730	75976057	44.3%	3515312715	51.9%	1.4%	0.7%
B2X7381_BL_CHK_M__SRR20216406	32834057	14368156	43.8%	646028439	47.5%	1.9%	0.5%
B2X7381_BL_CHK_M__SRR20216407	6477466	2782257	43.0%	121207290	47.9%	1.9%	0.5%
B2X7381_BL_CHK_M__SRR22581182	11307340	5246185	46.4%	236302540	52.6%	1.6%	0.7%
B2X7381_BL_CHK_M__SRR22581296	4695454	1925043	41.0%	85425522	50.0%	1.7%	0.7%
B2X7382_BL_CHK_M__SRR20216405	14451900	6089254	42.1%	270862751	49.2%	1.7%	0.5%
B2X7382_BL_CHK_M__SRR22581133	12218417	5319490	43.5%	238423610	54.3%	1.5%	0.7%
B2X7383_BL_CHK_M__SRR20216404	13994380	5912333	42.2%	258532987	47.8%	2.1%	0.5%
B2X7383_BL_CHK_M__SRR22581191	24571733	10909415	44.4%	483246096	54.1%	1.6%	0.7%
B2X7400_BL_CHK_F__SRR20216403	3756370	1524103	40.6%	68618609	48.4%	1.6%	0.5%
B2X7400_BL_CHK_F__SRR22581140	10695611	4548078	42.5%	207262095	53.9%	1.5%	0.7%
B2X7401_BL_ADL_M__SRR20216402	42235984	19399262	45.9%	886134474	46.6%	1.9%	0.5%
B2X7401_BL_ADL_M__SRR22581225	30128504	13336611	44.3%	599095239	49.5%	1.6%	0.7%
B2X7401_BL_ADL_M__SRR24994227	4268050	2166387	50.8%	35592692	44.4%	1.0%	0.6%
B2X7401_BL_ADL_M__SRR24994241	4630184	2343985	50.6%	38556513	45.2%	1.0%	0.6%
B2X7401_BL_ADL_M__SRR24994250	4236528	2150565	50.8%	35300266	44.3%	1.0%	0.6%
B2X7401_BL_ADL_M__SRR24994251	4632601	2323313	50.2%	38046414	44.9%	1.0%	0.6%
B2X7401_BL_ADL_M__SRR25143970	18872620	8149061	43.2%	572963674	48.3%	1.4%	0.9%
B2X7401_BL_ADL_M__SRR25143971	121061053	68252306	56.4%	4233663955	50.7%	0.5%	0.5%
B2X7402_BL_ADL_F__SRR20216401	8351489	3494436	41.8%	154636888	47.7%	1.9%	0.5%
B2X7402_BL_ADL_F__SRR22581136	15560945	6949022	44.7%	302381860	49.2%	1.7%	0.7%
B2X7406_BL_CHK_M__SRR20216400	72835454	32632682	44.8%	1462912396	48.9%	1.8%	0.5%
B2X7406_BL_CHK_M__SRR22581231	16086599	7403229	46.0%	331360008	49.9%	1.6%	0.7%
B2X7407_BL_ADL_F__SRR20216399	42217660	18521961	43.9%	827631980	46.2%	1.8%	0.5%
B2X7407_BL_ADL_F__SRR22581198	29932522	12654707	42.3%	572045751	47.5%	1.5%	0.7%
B2X7407_BL_CHK_F__SRR20216398	105659829	45792743	43.3%	2070801268	47.6%	1.7%	0.5%
B2X7407_BL_CHK_F__SRR22581222	38107719	16388902	43.0%	730488641	49.4%	1.6%	0.7%
B2X7408_BL_ADL_F__SRR20216585	15068496	6494791	43.1%	286691848	47.3%	2.2%	0.5%
B2X7408_BL_ADL_F__SRR22581261	31481976	14395898	45.7%	657347443	51.1%	1.6%	0.7%
B2X7408_BL_ADL_F__SRR25143958	11305445	4755356	42.1%	321882681	51.6%	2.4%	1.6%
B2X7408_BL_ADL_F__SRR25143959	124503090	74081767	59.5%	4453168774	52.7%	0.5%	0.5%
B2X7408_BL_ADL_F__SRR25143960	19257444	8386997	43.6%	590203705	49.8%	2.0%	1.4%
B2X7408_BL_ADL_F__SRR25143961	111048423	65382567	58.9%	3930276794	52.3%	0.7%	0.6%
B2X7410_BL_ADL_M__SRR20216584	116303957	52832246	45.4%	2352260128	46.5%	2.1%	0.5%
B2X7410_BL_ADL_M__SRR22581252	16836726	7796418	46.3%	355216608	48.9%	1.6%	0.7%
B2X7410_BL_ADL_M__SRR25143956	18782031	8265882	44.0%	572844193	48.9%	1.6%	0.9%
B2X7410_BL_ADL_M__SRR25143957	130219225	76817616	59.0%	4598790478	51.4%	0.6%	0.6%
B2X7410_BL_ADL_M__SRR25143976	16112889	7005353	43.5%	473349711	50.3%	2.6%	1.7%
B2X7410_BL_ADL_M__SRR25143977	151207290	88102988	58.3%	5297892505	51.5%	0.7%	0.6%
B2X7410_BL_CHK_M__SRR20216583	64654365	29044478	44.9%	1299187788	48.0%	2.0%	0.5%
B2X7410_BL_CHK_M__SRR22581213	103459559	48522782	46.9%	2161312622	49.9%	1.7%	0.7%
B2X7411_BL_CHK_M__SRR20216582	59805023	27291083	45.6%	1230239030	47.7%	2.0%	0.5%
