ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B3Y6935_BL_CHK_F__SRR22581156	Saarland_Second	B3Y6935_BL_CHK_F	SRR22581156	B3Y6935	BL	CHK	F
B2X7195_BL_ADL_M__SRR22581280	Saarland_Second	B2X7195_BL_ADL_M	SRR22581280	B2X7195	BL	ADL	M
B4E9421_BL_ADL_F__SRR22581170	Saarland_Second	B4E9421_BL_ADL_F	SRR22581170	B4E9421	BL	ADL	F
B2X7334_BL_ADL_F__SRR22581240	Saarland_Second	B2X7334_BL_ADL_F	SRR22581240	B2X7334	BL	ADL	F
B2X4346_BL_ADL_F__SRR22581295	Saarland_Second	B2X4346_BL_ADL_F	SRR22581295	B2X4346	BL	ADL	F
B2X7340_BL_ADL_F__SRR22581206	Saarland_Second	B2X7340_BL_ADL_F	SRR22581206	B2X7340	BL	ADL	F
B2X7383_BL_CHK_M__SRR22581191	Saarland_Second	B2X7383_BL_CHK_M	SRR22581191	B2X7383	BL	CHK	M
B1P5975_BL_ADL_M__SRR20216588	Saarland_First	B1P5975_BL_ADL_M	SRR20216588	B1P5975	BL	ADL	M
B1V5492_BL_ADL_F__SRR20216587	Saarland_First	B1V5492_BL_ADL_F	SRR20216587	B1V5492	BL	ADL	F
B1V5571_BL_ADL_F__SRR20216445	Saarland_First	B1V5571_BL_ADL_F	SRR20216445	B1V5571	BL	ADL	F
B2F5304_BL_CHK_M__SRR20216434	Saarland_First	B2F5304_BL_CHK_M	SRR20216434	B2F5304	BL	CHK	M
B2V8308_BL_CHK_F__SRR20216423	Saarland_First	B2V8308_BL_CHK_F	SRR20216423	B2V8308	BL	CHK	F
B2V8668_BL_CHK_F__SRR20216412	Saarland_First	B2V8668_BL_CHK_F	SRR20216412	B2V8668	BL	CHK	F
B2V8683_BL_ADL_M__SRR20216521	Saarland_First	B2V8683_BL_ADL_M	SRR20216521	B2V8683	BL	ADL	M
B2V8701_BL_ADL_F__SRR20216510	Saarland_First	B2V8701_BL_ADL_F	SRR20216510	B2V8701	BL	ADL	F
B2V8779_BL_CHK_M__SRR20216499	Saarland_First	B2V8779_BL_CHK_M	SRR20216499	B2V8779	BL	CHK	M
B2V8793_BL_ADL_F__SRR20216408	Saarland_First	B2V8793_BL_ADL_F	SRR20216408	B2V8793	BL	ADL	F
B2V8841_BL_ADL_F__SRR20216586	Saarland_First	B2V8841_BL_ADL_F	SRR20216586	B2V8841	BL	ADL	F
B2V8901_BL_CHK_F__SRR20216575	Saarland_First	B2V8901_BL_CHK_F	SRR20216575	B2V8901	BL	CHK	F
B2V8902_BL_CHK_F__SRR20216564	Saarland_First	B2V8902_BL_CHK_F	SRR20216564	B2V8902	BL	CHK	F
B2V8972_BL_ADL_F__SRR20216553	Saarland_First	B2V8972_BL_ADL_F	SRR20216553	B2V8972	BL	ADL	F
B2V8973_BL_ADL_F__SRR20216542	Saarland_First	B2V8973_BL_ADL_F	SRR20216542	B2V8973	BL	ADL	F
B2V8993_BL_CHK_M__SRR20216531	Saarland_First	B2V8993_BL_CHK_M	SRR20216531	B2V8993	BL	CHK	M
B2X3020_BL_ADL_M__SRR20216480	Saarland_First	B2X3020_BL_ADL_M	SRR20216480	B2X3020	BL	ADL	M
B2X3049_BL_ADL_M__SRR20216469	Saarland_First	B2X3049_BL_ADL_M	SRR20216469	B2X3049	BL	ADL	M
